city_id,City,Country,Cloudiness,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,busselton,AU,100,67,-33.65,115.3333,66.99,3.0
1,east london,ZA,0,77,-33.0153,27.9116,59.0,4.61
2,thompson,CA,20,74,55.7435,-97.8558,26.6,6.91
3,saint-philippe,RE,0,57,-21.3585,55.7679,82.4,2.3
4,arraial do cabo,BR,64,76,-22.9661,-42.0278,71.26,5.84
5,cabo san lucas,MX,1,44,22.8909,-109.9124,73.99,13.85
6,port alfred,ZA,0,70,-33.5906,26.891,62.83,11.52
7,acarau,BR,99,82,-2.8856,-40.12,76.73,2.98
8,lagunillas,VE,100,84,10.1301,-71.2595,77.4,4.23
9,humaita,BR,34,98,-7.5061,-63.0208,72.45,0.43
10,bluff,NZ,3,80,-46.6,168.3333,57.0,4.0
11,new norfolk,AU,100,72,-42.7826,147.0587,53.01,3.0
12,yibin,CN,100,79,28.7667,104.6238,74.16,1.59
13,esperance,AU,90,63,-33.8667,121.9,66.2,17.27
14,megion,RU,0,46,61.0296,76.1136,46.4,8.95
15,agadir,MA,0,82,30.4202,-9.5982,57.2,3.44
16,pevek,RU,91,89,69.7008,170.3133,18.09,4.63
17,kilindoni,TZ,74,79,-7.9139,39.6668,79.75,22.57
18,ust-maya,RU,71,60,60.4167,134.5333,50.88,5.61
19,rikitea,PF,43,81,-23.1203,-134.9692,77.97,13.02
20,sur,OM,76,36,22.5667,59.5289,91.22,14.25
21,cassilandia,BR,5,53,-19.1133,-51.7342,66.0,3.18
22,preobrazheniye,RU,61,41,42.9019,133.9064,57.83,9.51
23,roald,NO,75,75,62.5833,6.1333,39.2,11.5
24,talnakh,RU,89,91,69.4865,88.3972,31.1,7.36
25,georgetown,MY,20,74,5.4112,100.3354,89.6,4.61
26,gumdag,TM,96,46,39.2061,54.5906,70.09,1.54
27,kovalevskoye,RU,35,73,45.1942,40.9761,64.45,8.88
28,jamestown,US,40,55,42.097,-79.2353,64.4,8.05
29,albany,US,100,72,42.6001,-73.9662,51.01,3.4
30,ubatuba,BR,0,85,-23.4339,-45.0711,66.92,3.51
31,hithadhoo,MV,99,73,-0.6,73.0833,83.64,15.77
32,saldanha,ZA,0,44,-33.0117,17.9442,59.0,13.29
33,hasaki,JP,40,32,35.7333,140.8333,70.0,13.8
34,cherskiy,RU,5,80,68.75,161.3,30.97,6.96
35,bredasdorp,ZA,0,87,-34.5322,20.0403,48.2,3.44
36,hilo,US,90,73,19.7297,-155.09,75.2,6.91
37,kapaa,US,75,78,22.0752,-159.319,75.2,13.8
38,meulaboh,ID,100,66,4.1363,96.1285,86.18,4.45
39,ushuaia,AR,90,74,-54.8,-68.3,32.0,18.41
40,mahebourg,MU,40,83,-20.4081,57.7,80.6,12.66
41,gazojak,TM,65,14,41.1875,61.4036,78.6,11.3
42,kodiak,US,90,87,57.79,-152.4072,41.0,17.27
43,barrow,US,90,73,71.2906,-156.7887,17.6,4.61
44,grogol,ID,55,57,-7.6011,110.8186,88.59,7.65
45,ahome,MX,52,90,25.9167,-109.1833,68.0,8.25
46,torbay,CA,90,75,47.6666,-52.7314,44.01,17.27
47,hobart,AU,75,87,-42.8794,147.3294,53.01,10.36
48,cape town,ZA,0,71,-33.9258,18.4232,63.0,5.75
49,puerto ayora,EC,39,81,-0.7393,-90.3518,74.75,9.35
50,ponta do sol,PT,93,69,32.6667,-17.1,55.0,5.01
51,port lincoln,AU,70,59,-34.7333,135.8667,63.91,14.18
52,santiago de cuba,CU,40,78,20.0247,-75.8219,80.6,8.05
53,tuatapere,NZ,0,80,-46.1333,167.6833,57.0,4.0
54,at-bashi,KG,25,33,41.1702,75.8106,62.76,1.83
55,punta arenas,CL,0,74,-53.15,-70.9167,32.0,6.91
56,dikson,RU,100,84,73.5069,80.5464,29.61,14.52
57,norman wells,CA,20,65,65.282,-126.8329,37.4,3.44
58,anadyr,RU,0,68,64.75,177.4833,19.4,11.18
59,samarai,PG,39,78,-10.6167,150.6667,81.57,9.01
60,pangnirtung,CA,71,93,66.1451,-65.7125,26.42,3.15
61,nanortalik,GL,100,54,60.1432,-45.2371,38.7,23.06
62,qaanaaq,GL,98,61,77.484,-69.3632,24.31,5.5
63,visnes,NO,40,75,59.3556,5.2242,41.0,12.66
64,gisborne,NZ,53,75,-38.6533,178.0042,57.99,6.73
65,atuona,PF,82,78,-9.8,-139.0333,80.19,14.09
66,oriximina,BR,100,95,-1.7656,-55.8661,73.71,2.28
67,san cristobal,VE,99,98,7.7669,-72.225,66.11,0.81
68,sibolga,ID,90,57,1.7427,98.7792,89.58,6.2
69,butaritari,KI,92,74,3.0707,172.7902,83.66,17.65
70,taltal,CL,33,77,-25.4,-70.4833,62.24,2.44
71,hermanus,ZA,0,42,-34.4187,19.2345,66.99,8.88
72,mittagong,AU,11,62,-34.45,150.45,75.99,1.01
73,kavaratti,IN,85,70,10.5669,72.642,85.53,7.18
74,broken hill,AU,40,43,-31.95,141.4333,69.8,13.8
75,ilulissat,GL,0,23,69.2167,-51.1,44.6,19.57
76,necochea,AR,100,92,-38.5473,-58.7368,55.99,4.16
77,marystown,CA,90,93,47.1666,-55.1483,40.5,16.24
78,lagos,NG,40,89,6.5833,3.75,82.4,4.43
79,moura,PT,0,87,38.1401,-7.4486,44.6,6.91
80,santa cruz,BO,5,83,-17.8,-63.1667,71.6,9.22
81,hofn,IS,2,59,64.2539,-15.2082,32.88,15.08
82,chaohu,CN,0,47,31.6,117.8667,80.6,13.42
83,klaksvik,FO,97,86,62.2266,-6.589,32.0,3.44
84,markova,UA,75,66,48.6758,24.4138,48.2,11.18
85,terrace,CA,90,66,54.5163,-128.6035,48.2,10.36
86,birjand,IR,90,100,32.8663,59.2211,57.2,9.22
87,nabire,ID,51,75,-3.3667,135.4833,84.4,3.22
88,puerto madryn,AR,39,47,-42.7692,-65.0385,54.73,13.91
89,tasiilaq,GL,10,86,65.6145,-37.6368,26.6,8.05
90,marrakesh,MA,0,67,31.6315,-8.0083,57.2,4.61
91,souillac,MU,40,83,-20.5167,57.5167,80.6,12.66
92,saskylakh,RU,100,87,71.9167,114.0833,30.94,11.18
93,marawi,PH,90,78,7.9986,124.2928,87.01,5.99
94,alhaurin el grande,ES,75,71,36.643,-4.6873,60.01,4.61
95,bethel,US,98,75,41.3712,-73.414,57.99,0.58
96,mataura,NZ,16,80,-46.1927,168.8643,57.0,4.0
97,orlovskiy,RU,33,68,46.8714,42.0592,65.59,14.94
98,olafsvik,IS,0,61,64.8945,-23.7142,35.46,10.63
99,udachnyy,RU,100,100,66.4167,112.4,33.73,5.5
100,gat,IL,56,40,31.61,34.7642,73.0,2.8
101,avarua,CK,90,78,-21.2078,-159.775,77.0,10.36
102,provideniya,RU,100,71,64.3833,-173.3,27.81,17.0
103,bambanglipuro,ID,13,58,-7.95,110.2833,88.92,8.37
104,chebenki,RU,0,68,51.9337,55.7077,64.4,4.47
105,zeya,RU,95,29,53.75,127.2667,59.85,6.49
106,pitimbu,BR,0,94,-7.4706,-34.8086,73.4,5.75
107,yerraguntla,IN,20,52,14.6372,78.5395,91.4,10.36
108,kartuzy,PL,20,65,54.3342,18.1974,43.0,14.97
109,melfort,CA,95,74,52.8667,-104.6177,32.0,10.36
110,macenta,GN,100,98,8.5435,-9.471,66.38,1.32
111,darab,IR,1,38,28.7519,54.5444,74.37,6.89
112,mamallapuram,IN,40,58,12.6264,80.1722,91.4,8.05
113,alyangula,AU,90,66,-13.8483,136.4192,86.0,10.36
114,barcelos,PT,0,93,41.5388,-8.6151,50.0,2.3
115,piacabucu,BR,95,77,-10.4056,-36.4344,75.4,7.16
116,carnarvon,AU,100,56,-24.8667,113.6333,69.8,8.05
117,rocha,UY,32,87,-34.4833,-54.3333,59.79,7.4
118,aklavik,CA,100,74,68.2191,-135.0107,28.4,10.36
119,nizwa,OM,98,41,22.9333,57.5333,84.06,4.56
120,johi,PK,55,23,26.6921,67.6133,94.8,6.85
121,khatanga,RU,100,94,71.9667,102.5,32.16,9.64
122,aratoca,CO,100,89,6.6935,-73.0208,58.66,1.41
123,noumea,NC,75,78,-22.2763,166.4572,78.01,8.05
124,kendari,ID,19,60,-3.945,122.4989,87.58,8.25
125,port hardy,CA,90,81,50.6996,-127.4199,48.2,3.04
126,san patricio,US,90,94,28.017,-97.5169,75.2,17.27
127,kaitangata,NZ,26,76,-46.2817,169.8464,57.99,1.99
128,lae,PG,40,46,-6.7221,146.9847,93.2,5.75
129,barra,BR,67,66,-11.0894,-43.1417,73.08,5.03
130,naze,JP,40,53,28.3667,129.4833,73.4,8.05
131,sekoma,BW,20,76,-24.4,23.8833,51.51,8.41
132,camalu,MX,41,57,30.85,-116.0667,55.0,1.99
133,matamoros,MX,1,15,25.5333,-103.25,84.2,4.61
134,pisco,PE,40,82,-13.7,-76.2167,66.2,6.91
135,oranjemund,NA,94,46,-28.55,16.4333,68.76,6.2
136,half moon bay,US,1,87,37.4636,-122.4286,55.0,8.05
137,east wenatchee bench,US,1,35,47.4257,-120.2812,55.4,14.97
138,hobyo,SO,100,69,5.3505,48.5268,85.14,10.2
139,praia da vitoria,PT,75,94,38.7333,-27.0667,60.01,9.42
140,barroquinha,BR,85,96,-3.0189,-41.1361,71.6,3.53
141,danjiangkou,CN,100,89,32.5428,111.5086,57.94,4.16
142,tuktoyaktuk,CA,90,86,69.4541,-133.0374,23.0,8.05
143,castro,BR,0,91,-24.7911,-50.0119,55.33,2.91
144,santa maria,BR,4,71,-29.6842,-53.8069,64.87,4.45
145,lesosibirsk,RU,100,80,58.2358,92.4828,46.33,11.32
146,tessalit,ML,0,28,20.1986,1.0114,81.09,17.65
147,pergamino,AR,100,77,-33.89,-60.5736,70.0,1.99
148,waw,SS,100,62,7.7029,27.9953,78.13,3.89
149,obligado,PY,0,83,-27.0333,-55.6333,73.4,4.61
150,westport,US,1,82,41.1415,-73.3579,55.99,4.38
151,ruthin,GB,100,89,53.1137,-3.3178,46.99,1.01
152,teguldet,RU,100,58,57.3064,88.1667,52.16,14.41
153,victoria,HK,91,90,22.2855,114.1577,78.01,3.0
154,coihaique,CL,20,93,-45.5752,-72.0662,37.4,3.44
155,ust-nera,RU,99,77,64.5667,143.2,40.24,3.13
156,yellowknife,CA,20,58,62.456,-114.3525,21.2,4.61
157,luderitz,NA,32,66,-26.6481,15.1594,65.97,4.18
158,bengkulu,ID,87,55,-3.8004,102.2655,89.33,7.74
159,alakurtti,RU,18,59,66.9672,30.3491,32.0,1.99
160,tazovskiy,RU,100,89,67.4667,78.7,30.34,12.1
161,ahipara,NZ,7,66,-35.1667,173.1667,60.1,3.65
162,namibe,AO,2,65,-15.1961,12.1522,75.0,2.39
163,tianpeng,CN,40,61,30.9866,103.9393,80.6,4.47
164,longyearbyen,SJ,20,73,78.2186,15.6401,17.6,11.5
165,ganta,LR,100,99,7.3022,-8.5308,70.7,1.88
166,saint-joseph,RE,0,57,-21.3667,55.6167,82.4,2.3
167,la ronge,CA,94,63,55.1001,-105.2842,26.6,6.91
168,mar del plata,AR,90,100,-38.0023,-57.5575,60.01,3.44
169,ancud,CL,40,93,-41.8697,-73.8203,46.0,3.44
170,aleksandrovka,UA,0,88,46.8383,32.7612,57.2,6.71
171,sohag,EG,0,22,26.557,31.6948,75.2,6.91
172,kruisfontein,ZA,0,40,-34.0033,24.7314,60.06,7.52
173,vaini,TO,75,78,-21.2,-175.2,73.4,10.36
174,malmedy,BE,40,93,50.4269,6.0279,30.99,1.14
175,acajutla,SV,10,93,13.5928,-89.8275,71.01,1.01
176,lebu,CL,100,89,-37.6167,-73.65,52.48,6.38
177,san pedro,PH,20,52,14.35,121.0167,95.0,12.66
178,maniitsoq,GL,0,55,65.4167,-52.9,34.99,10.89
179,alice springs,AU,28,17,-23.7,133.8833,86.0,4.61
180,shuangcheng,CN,0,34,45.35,126.2833,66.2,15.66
181,norfolk,US,92,71,42.1668,-71.2495,59.0,9.22
182,sorland,NO,0,75,67.667,12.6934,33.8,5.75
183,seoul,KR,0,27,37.5683,126.9778,69.8,9.22
184,mehamn,NO,20,74,71.0357,27.8492,24.8,8.05
185,bukoba,TZ,75,88,-1.3317,31.8122,68.0,5.75
186,ribeira grande,PT,87,89,38.5167,-28.7,60.44,10.42
187,tarakan,ID,75,89,3.3,117.6333,80.6,3.44
188,saint anthony,US,75,72,45.0205,-93.218,59.0,4.61
189,thinadhoo,MV,77,71,0.5333,72.9333,83.64,8.61
190,adrar,MR,76,23,20.5022,-10.0711,79.23,10.4
191,winnemucca,US,1,37,40.973,-117.7357,48.2,5.75
192,sablan,PH,8,34,16.493,120.4954,91.08,9.8
193,yima,CN,100,44,34.7381,111.8839,67.51,5.5
194,chokurdakh,RU,71,87,70.6333,147.9167,28.54,7.05
195,inta,RU,100,82,66.0317,60.1659,32.61,24.25
196,bambous virieux,MU,40,83,-20.3428,57.7575,82.99,12.66
197,ust-ilimsk,RU,100,74,58.0006,102.6619,39.47,9.42
198,hemsedal,NO,95,91,60.8629,8.5534,27.59,2.39
199,geraldton,AU,0,25,-28.7667,114.6,78.8,10.36
200,kahului,US,20,65,20.8947,-156.47,77.0,12.66
201,ampanihy,MG,20,79,-24.7,44.75,66.78,6.69
202,codrington,AU,100,75,-38.2667,141.9667,56.88,14.67
203,ukiah,US,1,55,39.1502,-123.2078,60.8,3.44
204,southbridge,US,99,99,42.0751,-72.0334,55.0,3.02
205,raga,SS,100,53,8.4596,25.678,78.04,5.99
206,slantsy,RU,100,66,59.1182,28.0914,39.16,12.39
207,bogovarovo,RU,87,71,58.9785,47.0246,44.02,6.11
208,kundiawa,PG,95,87,-6.0167,144.9667,71.49,0.85
209,sawakin,SD,0,68,19.1059,37.3321,83.46,3.36
210,port macquarie,AU,4,73,-31.4333,152.9167,73.0,1.01
211,wairoa,NZ,18,75,-39.0333,177.3667,57.99,3.38
212,touros,BR,40,94,-5.1989,-35.4608,73.4,3.44
213,nemuro,JP,75,53,43.3236,145.575,46.4,11.5
214,vila franca do campo,PT,20,94,37.7167,-25.4333,55.4,4.61
215,guerrero negro,MX,25,75,27.9769,-114.0611,59.65,17.83
216,vanimo,PG,77,80,-2.6741,141.3028,82.76,5.01
217,kaliyaganj,IN,93,44,25.6333,88.3167,90.93,8.68
218,skuodas,LT,90,60,56.2667,21.5333,41.0,10.36
219,berlevag,NO,20,86,70.8578,29.0864,24.8,9.22
220,marau,BR,1,83,-28.4492,-52.2,59.4,3.56
221,toguchin,RU,88,38,55.2353,84.3858,57.02,20.69
222,tura,IN,99,43,25.5198,90.2201,88.27,5.32
223,kieta,PG,99,80,-6.2167,155.6333,82.9,2.06
224,lebanon,US,90,94,36.2081,-86.2911,64.4,3.44
225,bandarbeyla,SO,75,62,9.4942,50.8122,85.01,4.38
226,malanje,AO,99,98,-9.5402,16.341,62.94,3.8
227,college,US,75,35,64.8569,-147.8028,51.8,12.66
228,khorixas,NA,56,46,-20.3667,14.9667,65.23,8.88
229,duartina,BR,0,75,-22.4144,-49.4039,59.68,4.54
230,slave lake,CA,1,64,55.2834,-114.769,33.8,5.75
231,sola,VU,58,77,-13.8833,167.55,79.86,9.06
232,aswan,EG,0,13,24.0934,32.907,85.06,10.71
233,alexandria,EG,0,52,31.2156,29.9553,68.0,3.44
234,hare bay,CA,77,87,48.8499,-54.0148,37.4,9.22
235,auki,SB,99,76,-8.7676,160.7034,82.98,3.27
236,hohhot,CN,40,22,40.8106,111.6522,64.4,26.84
237,monrovia,LR,75,94,6.3005,-10.7969,77.0,9.22
238,kiunga,PG,83,65,-6.1219,141.2906,86.27,3.65
239,manapparai,IN,40,58,10.6,78.4167,91.4,3.44
240,faanui,PF,27,71,-16.4833,-151.75,81.64,6.78
241,haines junction,CA,92,48,60.7522,-137.5108,41.0,6.91
242,carutapera,BR,100,95,-1.195,-46.02,73.45,4.61
243,majene,ID,16,62,-3.5403,118.9707,86.99,5.28
244,iturama,BR,0,52,-19.7281,-50.1956,64.92,8.88
245,mount gambier,AU,90,77,-37.8333,140.7667,57.2,18.41
246,diffa,NE,51,19,13.3154,12.6113,80.87,9.4
247,ostrovnoy,RU,14,78,68.0531,39.5131,26.87,12.77
248,waterloo,CA,90,71,43.4668,-80.5164,51.8,12.66
249,upata,VE,98,92,8.0086,-62.3989,78.01,4.0
250,sokoto,NG,100,15,13.0609,5.239,82.62,7.76
251,saint george,US,1,39,37.1041,-113.5841,63.0,26.46
252,muravlenko,RU,3,62,63.7898,74.523,35.74,14.12
253,nouadhibou,MR,0,82,20.931,-17.0347,62.6,16.11
254,sao miguel do araguaia,BR,1,72,-13.275,-50.1628,71.78,3.6
255,awjilah,LY,52,11,29.1081,21.2869,85.24,7.11
256,lucapa,AO,100,96,-8.4192,20.7447,65.75,3.44
257,mangrol,IN,21,46,21.1167,70.1167,88.65,8.08
258,stephenville crossing,CA,90,87,48.5,-58.4318,39.2,16.11
259,mugur-aksy,RU,9,29,50.35,90.5,34.52,4.34
260,severo-kurilsk,RU,100,98,50.6789,156.125,35.82,18.99
261,aliquippa,US,90,37,40.6367,-80.2401,68.0,5.75
262,am timan,TD,19,49,11.0297,20.2827,83.17,7.4
263,san juan,AR,84,52,-31.5375,-68.5364,63.46,6.64
264,tiksi,RU,100,93,71.6872,128.8694,29.61,5.73
265,turukhansk,RU,100,98,65.8167,87.9833,34.86,15.12
266,aksarka,RU,80,82,66.5606,67.7975,32.47,18.23
267,alofi,NU,88,83,-19.0595,-169.9187,75.2,11.5
268,mildura,AU,90,59,-34.2,142.15,64.4,9.22
269,nelson bay,AU,20,64,-32.7167,152.15,75.0,5.75
270,hwange,ZW,45,60,-18.3693,26.5019,60.64,5.99
271,cockburn town,TC,53,75,21.4612,-71.1419,78.62,20.33
272,dunedin,NZ,52,67,-45.8742,170.5036,55.45,8.41
273,zyryanka,RU,22,70,65.75,150.85,38.75,11.81
274,leningradskiy,RU,77,88,69.3833,178.4167,21.74,4.88
275,roura,GF,90,94,4.7263,-52.3274,79.0,1.21
276,lagoa,PT,100,76,39.05,-27.9833,62.37,13.22
277,lipin bor,RU,97,48,60.2622,37.9763,38.16,11.54
278,ayagoz,KZ,0,19,47.9714,80.4392,59.95,6.04
279,farafangana,MG,97,89,-22.8167,47.8333,70.61,3.83
280,teknaf,BD,1,56,20.8624,92.3058,88.95,9.28
281,honningsvag,NO,20,64,70.9821,25.9704,32.0,4.0
282,fortuna,US,40,100,40.5982,-124.1573,51.01,6.91
283,juba,SS,100,85,4.8517,31.5825,72.86,2.62
284,anuradhapura,LK,52,60,8.3565,80.4173,88.2,4.36
285,resen,MK,81,76,41.0889,21.0122,54.81,4.18
286,snasa,NO,20,93,64.2457,12.3778,30.2,11.5
287,novikovo,RU,100,75,51.1537,37.8879,62.15,18.21
288,vyshhorod,UA,0,71,50.5848,30.4898,52.0,22.37
289,biasca,CH,17,61,46.3597,8.9697,44.6,6.91
290,albanel,CA,4,59,48.8832,-72.4487,32.0,10.36
291,northam,GB,100,92,51.0333,-4.2167,44.01,7.0
292,kiruna,SE,90,93,67.8557,20.2251,24.8,6.91
